,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z
0,0.9130867832439908,0.811029537624071,0.8520081139250695,0.8754038322038105,0.7161294533604423,0.7003539942712326,0.9102711072132321,0.7431310873342655,0.2593276336157797,0.5825769545789607,0.9266657561487629,0.6669871367112733,0.6681037528208427,0.8044339109390615,0.8488367266346541,0.81070564773286,0.8437517227942826,0.8546351550814193,0.8360769206573898,0.5833290286721663,0.8479858397446091,0.855130003401626,0.7334954917292031,0.8470898758222044,0.7527559739464366,0.6985232609253582
1,0.8156699574799912,0.8799050778924385,0.8189001085699652,0.8619621132782627,0.7678316882678755,0.7663752417765651,0.8434794266547425,0.7146354862306693,0.3256089216584771,0.5529033992520721,0.9378753578278224,0.6644151340689928,0.6341526854047502,0.7576635766761225,0.7892269464685805,0.8855751272738619,0.787611699515551,0.9191710457885436,0.8379724550831211,0.6001791465437214,0.7602917724959071,0.7916456204508985,0.6906384471533429,0.8176209613565723,0.7396454291657865,0.7119494034010594
2,0.787823069419402,0.706127331431951,0.9382314966497013,0.8583446002205855,0.7970957051281771,0.8284040549760037,0.789667430668576,0.5844783463507952,0.3207445050485288,0.6610966943277479,0.7731459130126556,0.7524586083817734,0.5200142620518153,0.6492848957256743,0.709383552174369,0.7763496945602759,0.6781354039891673,0.742265164800215,0.8345440342681567,0.7571519692115535,0.689156389804334,0.8194590290235958,0.5775468579673086,0.8724289136997638,0.8708483966272853,0.7921108009997448
3,0.8394759268749978,0.7467516665459468,0.9196076811238258,0.9301456691676488,0.7415337382343048,0.7683133229959318,0.8671113513048436,0.6552691167087523,0.28688430734488546,0.6757397633156744,0.8033023813621679,0.6672148740524517,0.6011725192831361,0.7293097114566449,0.788447066381423,0.812326123473846,0.7571936387534361,0.7968635298229345,0.8696574868456108,0.7360074466764287,0.7536654902167969,0.9048618508453666,0.6557816824466406,0.9191475233192089,0.9147093903280853,0.7680074648875026
4,0.6576809031023145,0.6804635423741492,0.7773378792833037,0.7294317804224979,0.9211785083393693,0.9109060742643749,0.6514366715772104,0.4632822342778644,0.4695918509756192,0.5904259266832582,0.6989489796454671,0.8238789439305201,0.3861886364273944,0.5157151902064643,0.5649146782858546,0.7025174508030464,0.5527924030946654,0.6697128415689798,0.7551397678259408,0.7066800966099328,0.5441673442830937,0.647345641862688,0.4438330202314884,0.7416200949315377,0.708834373553739,0.799575203387817
5,0.546609572786656,0.571525962492635,0.681545986627386,0.628762118802781,0.8105714859935128,0.8550276745558241,0.5460919616739919,0.3648031131772095,0.469883162945666,0.5308011786112157,0.5878337274829479,0.7580022392976703,0.28988352286985164,0.4136476287251645,0.46484787899888325,0.6209761133771066,0.44427920432103063,0.5681933095189096,0.6482842684685057,0.7050178995895457,0.4403777197914389,0.5558131715415815,0.34405157332915803,0.6414264482282641,0.6463554796535135,0.7189102430253111
6,0.8815054188197168,0.7891733946231922,0.9051178482490423,0.9603123847023678,0.7352998027307687,0.7478530674656687,0.9190005805247927,0.7025428954813275,0.2802668045352864,0.6491370830105572,0.8542581677962937,0.6582472516931835,0.643401169735924,0.7769165737241099,0.8337388036978638,0.8358767391758095,0.8091127302844068,0.8433225960791524,0.8823696993582548,0.6828547198951507,0.7993009568827705,0.9211814353580523,0.7011065620814741,0.9177399527249921,0.8598555192127978,0.7491321736528398
7,0.7070829941974575,0.6621164455564351,0.676299123871797,0.6981222031179959,0.5355957745863581,0.5747958997139101,0.7478806749082043,0.8411270600791041,0.0710412421925043,0.3847373006553956,0.7718300991022446,0.49457424247306625,0.7681250189159179,0.8103553276361833,0.8186131072418327,0.7744663617428384,0.7619158052943837,0.7608171522918312,0.6290961881776708,0.45174435185101625,0.8197934417531809,0.7383885333755582,0.805784133979414,0.6503889065802074,0.6348365115786863,0.49059667642872407
8,0.31004102641069486,0.39510016664186154,0.3986922418307203,0.3759927415155564,0.6010586853318224,0.5457791212394277,0.29582667604842794,0.10331009645955325,0.7900665295447333,0.4063762201746003,0.3423723911981804,0.536602025191888,0.03042396393365554,0.15929568449881948,0.198498572792685,0.3410006632689687,0.210913131215684,0.33181232892577517,0.43686089269277484,0.4622305593226017,0.1726153997152392,0.27785730999277714,0.08504437264595022,0.3988918276484986,0.35854609668586657,0.5595693463050937
9,0.6359948781926684,0.5813045398410444,0.6990427255161267,0.6932250032928303,0.6832515852931358,0.654302384182393,0.6249624831806353,0.3903614338629787,0.4280914236410346,0.8989250458699745,0.5605998788780329,0.6088427211373713,0.3513947266908959,0.4788476350388914,0.52751010956074,0.5540828964566085,0.5309595999714096,0.5605790084246689,0.737352741885327,0.7956200921868886,0.49685305021981196,0.6441326700309069,0.4023332999742478,0.7404937839213045,0.7336880154501687,0.8320951331039391
10,0.8042842960097009,0.828908666373572,0.8310900703344336,0.8428089396440057,0.7732043411054127,0.7805619611791469,0.8229032340204331,0.6992792511168132,0.30913503464021985,0.5359583737893572,0.9239943037810359,0.6939047422481494,0.6146834659230488,0.7361236918822762,0.7734981948523415,0.876459881812146,0.759252509886712,0.8741199240143822,0.8131878725650795,0.5991061212486357,0.7548709614935158,0.7850768734009246,0.6725399554204732,0.8052435089938843,0.7377382260891225,0.7011313947441276
11,0.5161606628470043,0.5005699688479762,0.6347395892335421,0.5593861978049902,0.7582181760482414,0.7262351248639731,0.4893526356362926,0.29496637004198334,0.4582317790113247,0.5106078284207739,0.5336815364616558,0.8421162655189003,0.21546571063833708,0.3478544939072956,0.4010643279797498,0.5154088259926631,0.38784622033197413,0.48401173624168436,0.5906352889453534,0.6050739139182408,0.3961077105361108,0.49416926949112017,0.2769725859631478,0.587862735307728,0.5609735804297371,0.6810599165355469
12,0.6741448535059948,0.6173558338187823,0.6226743528013292,0.6710883847825675,0.45740917254159374,0.5014297769523406,0.7318642662913981,0.867729741386584,0.013151591323958933,0.39225059007167884,0.6914482232140975,0.39400716269886393,0.8656324891775469,0.8452530626536652,0.8326607683344953,0.7182094103219048,0.7732950683396227,0.7175241804523078,0.596796402105702,0.44190473309499245,0.8062771793164704,0.7373308069153283,0.8707307077841755,0.6227844657507483,0.6306669781012091,0.45068088635740877
13,0.8040388562961943,0.7036252036558578,0.7612773536152295,0.7955559088022002,0.5831556291930885,0.614424635090532,0.854571681300664,0.8311017069756917,0.12135735412931015,0.5066044515158796,0.8032996281110786,0.5327667974034197,0.7784406739675197,0.8760925741434983,0.9228243205479408,0.7972763068381546,0.8438520824592328,0.7996442571471681,0.7199936954199908,0.5459712411088049,0.8974792364097334,0.8642650438013086,0.8307780713257042,0.7530362116626105,0.7417237990930499,0.5784536414748359
