,0,1,2,3,4,5,6,7,8,9
C,"('C', 1.0)","('X', 0.92)","('D', 0.87)","('S', 0.87)","('Y', 0.86)","('V', 0.86)","('A', 0.85)","('G', 0.84)","('K', 0.81)","('Z', 0.79)"
W,"('W', 1.0)","('H', 0.94)","('M', 0.93)","('N', 0.92)","('O', 0.86)","('U', 0.85)","('Q', 0.85)","('G', 0.76)","('R', 0.75)","('V', 0.73)"
Z,"('Z', 1.0)","('S', 0.84)","('E', 0.84)","('X', 0.82)","('C', 0.79)","('D', 0.78)","('J', 0.78)","('F', 0.78)","('T', 0.76)","('Y', 0.76)"
N,"('N', 1.0)","('O', 0.94)","('Q', 0.92)","('W', 0.92)","('H', 0.9)","('U', 0.9)","('M', 0.86)","('G', 0.84)","('R', 0.81)","('V', 0.8)"
B,"('B', 1.0)","('R', 0.89)","('K', 0.86)","('S', 0.82)","('D', 0.82)","('P', 0.8)","('G', 0.8)","('Q', 0.78)","('A', 0.78)","('X', 0.78)"
Y,"('Y', 1.0)","('X', 0.86)","('C', 0.86)","('V', 0.85)","('D', 0.84)","('S', 0.81)","('T', 0.8)","('G', 0.79)","('A', 0.77)","('P', 0.76)"
O,"('O', 1.0)","('N', 0.94)","('U', 0.93)","('Q', 0.92)","('G', 0.89)","('W', 0.86)","('V', 0.86)","('H', 0.85)","('A', 0.84)","('R', 0.83)"
L,"('L', 1.0)","('E', 0.81)","('F', 0.75)","('C', 0.74)","('Z', 0.74)","('X', 0.69)","('S', 0.69)","('K', 0.65)","('A', 0.65)","('D', 0.65)"
Y,"('Y', 1.0)","('X', 0.86)","('C', 0.86)","('V', 0.85)","('D', 0.84)","('S', 0.81)","('T', 0.8)","('G', 0.79)","('A', 0.77)","('P', 0.76)"
P,"('P', 1.0)","('R', 0.89)","('K', 0.85)","('D', 0.82)","('G', 0.8)","('B', 0.8)","('V', 0.79)","('O', 0.79)","('C', 0.78)","('S', 0.78)"
C,"('C', 1.0)","('X', 0.92)","('D', 0.87)","('S', 0.87)","('Y', 0.86)","('V', 0.86)","('A', 0.85)","('G', 0.84)","('K', 0.81)","('Z', 0.79)"
H,"('H', 1.0)","('W', 0.94)","('M', 0.91)","('N', 0.9)","('O', 0.85)","('U', 0.84)","('Q', 0.84)","('R', 0.77)","('G', 0.76)","('K', 0.75)"
K,"('K', 1.0)","('R', 0.9)","('G', 0.87)","('B', 0.86)","('A', 0.85)","('P', 0.85)","('D', 0.84)","('Q', 0.83)","('O', 0.82)","('S', 0.82)"
P,"('P', 1.0)","('R', 0.89)","('K', 0.85)","('D', 0.82)","('G', 0.8)","('B', 0.8)","('V', 0.79)","('O', 0.79)","('C', 0.78)","('S', 0.78)"
J,"('J', 1.0)","('Z', 0.78)","('X', 0.72)","('S', 0.71)","('T', 0.71)","('Y', 0.7)","('D', 0.68)","('C', 0.67)","('A', 0.65)","('V', 0.64)"
M,"('M', 1.0)","('W', 0.93)","('H', 0.91)","('N', 0.86)","('O', 0.8)","('Q', 0.79)","('U', 0.79)","('G', 0.7)","('R', 0.7)","('V', 0.68)"
E,"('E', 1.0)","('F', 0.87)","('Z', 0.84)","('L', 0.81)","('S', 0.8)","('C', 0.78)","('X', 0.77)","('D', 0.75)","('B', 0.73)","('K', 0.73)"
T,"('T', 1.0)","('Y', 0.8)","('Z', 0.76)","('F', 0.74)","('X', 0.72)","('C', 0.72)","('J', 0.71)","('S', 0.7)","('D', 0.69)","('E', 0.69)"
